scenario,series,series_label,p,true_mtd,true_mtd_label,correct_pct,too_high_pct,too_low_pct,mean_acute_tox,mean_subacute_tox,ever_reached_top_pct,sel_L0_pct,sel_L1_pct,sel_L2_pct,sel_L3_pct,sel_L4_pct
Acute steep,attribution,"Non-binary DLT (n full, y scaled)",0.05,2,L2 (5x6 Gy),22.6,77.3,0.1,5.299,3.137,67.60000000000001,0.0,0.1,22.6,60.5,16.8
Acute steep,attribution,"Non-binary DLT (n full, y scaled)",0.1,2,L2 (5x6 Gy),22.3,77.7,0.0,5.169,3.087,68.4,0.0,0.0,22.3,61.5,16.2
Acute steep,attribution,"Non-binary DLT (n full, y scaled)",0.25,2,L2 (5x6 Gy),27.1,72.6,0.3,4.85,2.836,53.6,0.0,0.3,27.1,60.8,11.8
Acute steep,attribution,"Non-binary DLT (n full, y scaled)",0.5,2,L2 (5x6 Gy),34.0,65.7,0.3,4.113,2.489,23.8,0.0,0.3,34.0,59.1,6.6000000000000005
Acute steep,attribution,"Non-binary DLT (n full, y scaled)",1.0,2,L2 (5x6 Gy),47.8,51.6,0.6,2.985,2.098,4.3,0.0,0.6,47.8,49.6,2.0
Acute steep,weight,Block discount (n and y scaled),0.0,2,L2 (5x6 Gy),29.3,69.89999999999999,0.8,4.825,2.929,65.2,0.0,0.8,29.3,55.50000000000001,14.4
Acute steep,weight,Block discount (n and y scaled),0.05,2,L2 (5x6 Gy),27.200000000000003,72.2,0.6,4.68,2.877,63.0,0.0,0.6,27.200000000000003,56.49999999999999,15.7
Acute steep,weight,Block discount (n and y scaled),0.1,2,L2 (5x6 Gy),31.2,68.2,0.6,4.57,2.784,56.89999999999999,0.0,0.6,31.2,55.50000000000001,12.7
Acute steep,weight,Block discount (n and y scaled),0.25,2,L2 (5x6 Gy),32.0,67.30000000000001,0.7000000000000001,4.188,2.613,45.1,0.0,0.7000000000000001,32.0,55.8,11.5
Acute steep,weight,Block discount (n and y scaled),0.5,2,L2 (5x6 Gy),34.1,65.0,0.8999999999999999,3.695,2.436,20.8,0.0,0.8999999999999999,34.1,57.49999999999999,7.5
Acute steep,weight,Block discount (n and y scaled),1.0,2,L2 (5x6 Gy),46.6,52.6,0.8,2.984,2.143,4.3,0.0,0.8,46.6,50.4,2.2
Acute steep,attribution_override,Non-binary DLT + escalation override,0.0,2,L2 (5x6 Gy),21.2,78.4,0.4,5.398,3.201,73.5,0.0,0.4,21.2,56.6,21.8
Acute steep,attribution_override,Non-binary DLT + escalation override,0.05,2,L2 (5x6 Gy),23.7,76.2,0.1,5.334,3.21,71.1,0.0,0.1,23.7,55.60000000000001,20.6
Acute steep,attribution_override,Non-binary DLT + escalation override,0.1,2,L2 (5x6 Gy),23.200000000000003,76.3,0.5,5.395,3.107,72.39999999999999,0.0,0.5,23.200000000000003,61.4,14.9
Acute steep,attribution_override,Non-binary DLT + escalation override,0.25,2,L2 (5x6 Gy),29.2,70.39999999999999,0.4,5.062,2.954,57.4,0.0,0.4,29.2,59.8,10.6
Acute steep,attribution_override,Non-binary DLT + escalation override,0.5,2,L2 (5x6 Gy),30.9,69.0,0.1,4.189,2.497,31.1,0.0,0.1,30.9,62.5,6.5
Acute steep,attribution_override,Non-binary DLT + escalation override,1.0,2,L2 (5x6 Gy),47.8,51.3,0.8999999999999999,3.387,2.322,19.2,0.0,0.8999999999999999,47.8,48.4,2.9000000000000004
Acute shallow,attribution,"Non-binary DLT (n full, y scaled)",0.0,3,L3 (5x7 Gy),42.7,36.9,20.4,4.557,3.098,65.10000000000001,0.0,2.5,17.9,42.7,36.9
Acute shallow,attribution,"Non-binary DLT (n full, y scaled)",0.05,3,L3 (5x7 Gy),42.7,34.7,22.6,4.511,3.107,62.8,0.0,2.9000000000000004,19.7,42.7,34.7
Acute shallow,attribution,"Non-binary DLT (n full, y scaled)",0.1,3,L3 (5x7 Gy),42.8,32.7,24.5,4.468,3.065,61.2,0.1,4.2,20.200000000000003,42.8,32.7
Acute shallow,attribution,"Non-binary DLT (n full, y scaled)",0.25,3,L3 (5x7 Gy),47.3,24.4,28.3,4.299,2.77,48.0,0.2,3.9,24.2,47.3,24.4
Acute shallow,attribution,"Non-binary DLT (n full, y scaled)",0.5,3,L3 (5x7 Gy),42.6,12.9,44.5,4.028,2.435,22.9,0.3,7.8,36.4,42.6,12.9
Acute shallow,attribution,"Non-binary DLT (n full, y scaled)",1.0,3,L3 (5x7 Gy),27.1,2.5,70.39999999999999,3.566,1.885,3.6,1.0,17.2,52.2,27.1,2.5
Acute shallow,weight,Block discount (n and y scaled),0.0,3,L3 (5x7 Gy),33.4,31.8,34.8,4.235,2.851,56.3,1.3,8.5,25.0,33.4,31.8
Acute shallow,weight,Block discount (n and y scaled),0.05,3,L3 (5x7 Gy),35.9,29.9,34.2,4.171,2.79,53.8,1.7000000000000002,7.8,24.7,35.9,29.9
Acute shallow,weight,Block discount (n and y scaled),0.1,3,L3 (5x7 Gy),34.0,26.3,39.7,4.171,2.633,49.8,2.5,11.0,26.200000000000003,34.0,26.3
Acute shallow,weight,Block discount (n and y scaled),0.25,3,L3 (5x7 Gy),33.800000000000004,19.9,46.3,3.944,2.39,34.599999999999994,2.5,10.6,33.2,33.800000000000004,19.9
Acute shallow,weight,Block discount (n and y scaled),0.5,3,L3 (5x7 Gy),33.7,11.3,55.00000000000001,3.844,2.08,19.0,1.6,15.3,38.1,33.7,11.3
Acute shallow,weight,Block discount (n and y scaled),1.0,3,L3 (5x7 Gy),28.9,2.3,68.8,3.586,1.885,2.8000000000000003,1.3,16.7,50.8,28.9,2.3
Acute shallow,attribution_override,Non-binary DLT + escalation override,0.0,3,L3 (5x7 Gy),41.2,40.5,18.3,4.494,3.247,71.3,0.0,1.7999999999999998,16.5,41.2,40.5
Acute shallow,attribution_override,Non-binary DLT + escalation override,0.05,3,L3 (5x7 Gy),41.2,36.4,22.4,4.535,3.254,66.8,0.0,2.5,19.9,41.2,36.4
Acute shallow,attribution_override,Non-binary DLT + escalation override,0.1,3,L3 (5x7 Gy),45.0,33.5,21.5,4.473,3.179,69.3,0.0,2.3,19.2,45.0,33.5
Acute shallow,attribution_override,Non-binary DLT + escalation override,0.25,3,L3 (5x7 Gy),45.7,25.8,28.5,4.398,2.941,55.8,0.1,3.8,24.6,45.7,25.8
Acute shallow,attribution_override,Non-binary DLT + escalation override,0.5,3,L3 (5x7 Gy),40.2,13.2,46.6,4.136,2.481,31.1,0.1,9.5,37.0,40.2,13.2
Acute shallow,attribution_override,Non-binary DLT + escalation override,1.0,3,L3 (5x7 Gy),31.1,4.0,64.9,3.728,2.029,15.5,0.8999999999999999,17.4,46.6,31.1,4.0
Acute low,attribution,"Non-binary DLT (n full, y scaled)",0.75,4,L4 (5x8 Gy),31.0,0.0,69.0,2.063,2.662,38.6,0.0,0.3,9.700000000000001,59.0,31.0
Acute low,weight,Block discount (n and y scaled),0.75,4,L4 (5x8 Gy),24.099999999999998,0.0,75.9,2.037,2.549,31.2,0.0,0.4,16.8,58.699999999999996,24.099999999999998
Acute low,attribution_override,Non-binary DLT + escalation override,0.75,4,L4 (5x8 Gy),38.800000000000004,0.0,61.199999999999996,2.178,2.731,55.400000000000006,0.0,0.1,12.2,48.9,38.800000000000004
Acute middle,attribution,"Non-binary DLT (n full, y scaled)",0.75,3,L3 (5x7 Gy),52.2,8.9,38.9,3.19,2.27,17.5,0.0,1.9,37.0,52.2,8.9
Acute middle,weight,Block discount (n and y scaled),0.75,3,L3 (5x7 Gy),45.800000000000004,5.7,48.5,3.061,2.134,10.6,0.0,2.7,45.800000000000004,45.800000000000004,5.7
Acute middle,attribution_override,Non-binary DLT + escalation override,0.75,3,L3 (5x7 Gy),49.9,8.799999999999999,41.3,3.405,2.249,26.400000000000002,0.0,2.6,38.7,49.9,8.799999999999999
Acute high,attribution,"Non-binary DLT (n full, y scaled)",0.75,2,L2 (5x6 Gy),54.900000000000006,39.2,5.8999999999999995,3.831,2.072,7.3,0.0,5.8999999999999995,54.900000000000006,35.9,3.3000000000000003
Acute high,weight,Block discount (n and y scaled),0.75,2,L2 (5x6 Gy),58.4,35.6,6.0,3.617,2.034,6.1,0.0,6.0,58.4,33.5,2.1
Acute high,attribution_override,Non-binary DLT + escalation override,0.75,2,L2 (5x6 Gy),52.5,43.0,4.5,3.885,2.127,17.5,0.0,4.5,52.5,39.800000000000004,3.2
Acute steep,attribution,"Non-binary DLT (n full, y scaled)",0.75,2,L2 (5x6 Gy),37.9,61.5,0.6,3.542,2.209,9.9,0.0,0.6,37.9,57.699999999999996,3.8
Acute steep,weight,Block discount (n and y scaled),0.75,2,L2 (5x6 Gy),42.6,57.099999999999994,0.3,3.257,2.226,8.799999999999999,0.0,0.3,42.6,53.300000000000004,3.8
Acute steep,attribution_override,Non-binary DLT + escalation override,0.75,2,L2 (5x6 Gy),38.1,61.5,0.4,3.698,2.496,22.2,0.0,0.4,38.1,56.2,5.3
Acute shallow,attribution,"Non-binary DLT (n full, y scaled)",0.75,3,L3 (5x7 Gy),35.199999999999996,6.0,58.8,3.861,2.089,9.3,0.8,12.8,45.2,35.199999999999996,6.0
Acute shallow,weight,Block discount (n and y scaled),0.75,3,L3 (5x7 Gy),32.1,3.9,64.0,3.724,1.891,6.800000000000001,1.6,16.400000000000002,46.0,32.1,3.9
Acute shallow,attribution_override,Non-binary DLT + escalation override,0.75,3,L3 (5x7 Gy),37.3,7.7,55.00000000000001,3.808,2.178,20.200000000000003,0.2,11.5,43.3,37.3,7.7
