scenario,ewoc,burn_in,simulation,true_mtd,closest_target_dose,selected_mtd,selected_without_final_ewoc,ewoc_final_downshift,additional_duration_weeks,total_duration_weeks,stopped_early,n_total,n_new,n_acute_tox,n_subacute_tox,any_acute_tox,any_subacute_tox,n_above_true_mtd,pct_above_true_mtd,n_L0,n_L1,n_L2,n_L3,n_L4,n_new_L0,n_new_L1,n_new_L2,n_new_L3,n_new_L4
Acute steep,EWOC during + final,False,146,2,3,2,3,1,96.0,120.0,False,30,24,4,3,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,147,2,3,3,3,0,96.0,120.0,False,30,24,2,5,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,148,2,3,2,2,0,96.0,120.0,False,30,24,6,2,True,True,15,50.0,0,6,9,12,3,0,0,9,12,3
Acute steep,EWOC during + final,False,149,2,3,3,3,0,96.0,120.0,False,30,24,2,5,True,True,21,70.0,0,6,3,21,0,0,0,3,21,0
Acute steep,EWOC during + final,False,150,2,3,2,3,1,96.0,120.0,False,30,24,4,4,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,151,2,3,2,3,1,96.0,120.0,False,30,24,4,4,True,True,15,50.0,0,6,9,15,0,0,0,9,15,0
Acute steep,EWOC during + final,False,152,2,3,2,3,1,96.0,120.0,False,30,24,5,3,True,True,18,60.0,0,6,6,18,0,0,0,6,18,0
Acute steep,EWOC during + final,False,153,2,3,2,3,1,96.0,120.0,False,30,24,3,2,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,154,2,3,2,2,0,96.0,120.0,False,30,24,5,0,True,False,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,155,2,3,2,2,0,96.0,120.0,False,30,24,6,0,True,False,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,156,2,3,2,2,0,96.0,120.0,False,30,24,5,1,True,True,6,20.0,0,9,15,6,0,0,3,15,6,0
Acute steep,EWOC during + final,False,157,2,3,2,2,0,96.0,120.0,False,30,24,5,1,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,158,2,3,3,3,0,96.0,120.0,False,30,24,3,3,True,True,15,50.0,0,6,9,15,0,0,0,9,15,0
Acute steep,EWOC during + final,False,159,2,3,2,2,0,96.0,120.0,False,30,24,5,5,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,160,2,3,2,3,1,96.0,120.0,False,30,24,4,1,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,161,2,3,2,3,1,96.0,120.0,False,30,24,4,1,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,162,2,3,2,3,1,96.0,120.0,False,30,24,3,0,True,False,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,163,2,3,2,3,1,96.0,120.0,False,30,24,3,3,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,164,2,3,2,3,1,96.0,120.0,False,30,24,3,4,True,True,12,40.0,0,6,12,12,0,0,0,12,12,0
Acute steep,EWOC during + final,False,165,2,3,3,3,0,96.0,120.0,False,30,24,3,4,True,True,15,50.0,0,6,9,15,0,0,0,9,15,0
Acute steep,EWOC during + final,False,166,2,3,2,3,1,96.0,120.0,False,30,24,3,3,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,167,2,3,2,3,1,96.0,120.0,False,30,24,3,1,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,168,2,3,3,3,0,96.0,120.0,False,30,24,2,3,True,True,21,70.0,0,6,3,21,0,0,0,3,21,0
Acute steep,EWOC during + final,False,169,2,3,3,3,0,96.0,120.0,False,30,24,2,4,True,True,15,50.0,0,6,9,15,0,0,0,9,15,0
Acute steep,EWOC during + final,False,170,2,3,3,3,0,96.0,120.0,False,30,24,3,2,True,True,18,60.0,0,6,6,18,0,0,0,6,18,0
Acute steep,EWOC during + final,False,171,2,3,2,3,1,96.0,120.0,False,30,24,3,1,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,172,2,3,2,3,1,96.0,120.0,False,30,24,4,4,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,173,2,3,3,3,0,96.0,120.0,False,30,24,3,1,True,True,21,70.0,0,6,3,21,0,0,0,3,21,0
Acute steep,EWOC during + final,False,174,2,3,2,3,1,96.0,120.0,False,30,24,3,3,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,175,2,3,2,2,0,96.0,120.0,False,30,24,4,3,True,True,0,0.0,0,9,21,0,0,0,3,21,0,0
Acute steep,EWOC during + final,False,176,2,3,2,3,1,96.0,120.0,False,30,24,3,2,True,True,12,40.0,0,6,12,12,0,0,0,12,12,0
Acute steep,EWOC during + final,False,177,2,3,3,3,0,96.0,120.0,False,30,24,2,2,True,True,18,60.0,0,6,6,18,0,0,0,6,18,0
Acute steep,EWOC during + final,False,178,2,3,2,3,1,96.0,120.0,False,30,24,4,3,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,179,2,3,3,3,0,96.0,120.0,False,30,24,3,2,True,True,12,40.0,0,6,12,12,0,0,0,12,12,0
Acute steep,EWOC during + final,False,180,2,3,3,3,0,96.0,120.0,False,30,24,2,2,True,True,3,10.0,0,9,18,3,0,0,3,18,3,0
Acute steep,EWOC during + final,False,181,2,3,2,3,1,96.0,120.0,False,30,24,4,7,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,182,2,3,3,3,0,96.0,120.0,False,30,24,2,3,True,True,6,20.0,0,9,15,6,0,0,3,15,6,0
Acute steep,EWOC during + final,False,183,2,3,3,3,0,96.0,120.0,False,30,24,2,4,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
